comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
Utilities/vtkfreetype/src/winfonts,0,878,0.119589977,2,1359,0,2,0,2,0.5,1,0.5,0.001517451,1,0,1,1,0,1,1,0.43009768,0.43009768,7.63E-05,7.63E-05,0,0,0,0,2,0,2,1,1,1,1,1,1,VTK,9,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkgl2ps,0,4529,0.183042614,1,6184,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,9,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkhdf5/c++/src,0,5527,0.195585309,2,15234,0,2,0,2,0.5,1,0.5,0.000266205,2,0,2,1,0,0,1,3568.4,3568.4,0.05,0.05,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,1,0,0,0,1,0,0,0,2,1,0,0,0
Utilities/vtkhdf5/hl/c++/src,0,102,0.196078432,1,577,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkhdf5/hl/src,0,7631,0.234569519,1,15881,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,3,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkhdf5/Resources,0,52,0.28846154,1,859,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkhdf5/src,0,104257,0.300373116,4,277218,0,2,0,2,0.75,0.993589024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,1,1,0.019607843,0.019607843,VTK,273,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkjpeg,0,11835,0.175073933,1,23988,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,35,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtklibproj4,0,8465,0.075014767,2,15981,0,2,0,2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,13,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtklibxml2,0,30341,0.257407468,1,210660,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,1,1,0.019607843,0.019607843,VTK,18,0,0,0,0,0,0,0,0,0,0,0,0
