comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
Modules/ThirdParty/VNL/src/vxl/vcl/config.win32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/config.win32/vc60,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/config.win32/vc70,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/emulation,0,9443,0.242507678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/gcc-295,0,55,0.654545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/internal,0,177,0.158192091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/mwerks,0,49,1.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/sgi,0,55,0.50909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/sunpro,0,48,0.583333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/win32-vc60,0,160,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/win32-vc70,0,109,1.04587156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNL/src/vxl/vcl/win32-vc8,0,8,1.374999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/VNLInstantiation/include,0,1,2.9999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/ThirdParty/ZLIB/src/itkzlib,0,4181,0.235350395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITK,7,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Video/BridgeOpenCV/include,1,274,0.124087592,5,150,0,3,0,3,0.4,1,1,1,3,0,3,1,2,1,2,56.32224449,51.60055829,0.002004008,0.014820605,0,0,0,0.16,7,0,7,0.571428571,0,0.7,0.708843537,0.428571429,0.40952381,ITK,1,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Video/BridgeVXL/include,0,122,0.114754099,3,8,0,2,0,2,0.666666667,1,1,1,3,0,3,1,1,1,2,56.32224449,51.60055829,0.002004008,0.014820605,0,0,0,0,5,0,5,0.666666667,1,1,0.777777778,0.333333333,0.288888889,ITK,1,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Video/Core/include,0,416,0.161057693,4,18,0,3,0,3,0.5,0.980974737,1,1,3,0,3,1,2,2,2,35.92535801,42.5825366,0.00649651,0.013862706,3,3,0,0.166666667,12,0,12,0.7,0,0.85,0.793333333,0.416666667,0.426212625,ITK,1,0,0,0,1,0,0,0,2,1,0,0,0
Modules/Video/Filtering/include,0,146,0.191780822,3,387,0,3,0,3,0.333333333,1,1,1,3,0,3,0.5,1,0,1,94.4375,164.6951138,0.00265252,0.015441065,0,0,0,0,6,0,6,0.333333333,1,0.333333333,0.555555556,0.333333333,0.288888889,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Video/IO/include,0,261,0.214559387,3,18,0,2,0,2,0.666666667,0.978540439,1,1,3,0,3,1,2,1,2,56.32224449,51.60055829,0.002004008,0.014820605,2,3,0,0.066666667,9,0,9,0.666666667,0,0.85,0.755555556,0.380952381,0.422222222,ITK,2,0,0,0,0,0,0,0,0,0,0,0,0
Wrapping/ExternalProjects/ItkVtkGlue/src,0,94,0.159574469,2,99,0,2,0,2,0.5,1,1,1,3,0,3,1,1,1,1,4.04193038,4.04193038,0.000791139,0.000791139,0,0,0,0,7,0,7,0.666666667,0,1,0.888888889,0.333333333,0.31498708,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrapping/ExternalProjects/PyBuffer,0,57,0,1,1,0,1,0,1,1,1,1,1,3,0,3,1,1,1,1,4.04193038,4.04193038,0.000791139,0.000791139,0,0,0,0,7,0,7,0.666666667,0,1,0.888888889,0.333333333,0.31498708,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrapping/Generators/Java,0,11,0.272727279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.111627907,0.111627907,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrapping/Generators/Python/PyUtils,1,58,0.172413795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.111627907,0.111627907,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrapping/Generators/Tcl,1,63,0.174603176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.111627907,0.111627907,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
