comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
qtquick1.examples/declarative/righttoleft/layoutdirection,0,9,0.111111121,5,72,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/righttoleft/layoutmirroring,0,9,0.111111121,5,72,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/righttoleft/textalignment,0,9,0.111111121,5,72,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/rssnews,0,9,0.111111121,1,55,1,1,0,1,1,0,1,1,3,0,3,1,0,1,0,5.973134925,5.973134925,0.000343997,0.000343997,0,0,0,0,6,0,6,1,0,1,1,0.954545455,0.954545455,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/samegame,0,9,0.111111121,1,55,1,1,0,1,1,0,1,1,3,0,3,1,0,1,0,5.973134925,5.973134925,0.000343997,0.000343997,0,0,0,0,6,0,6,1,0,1,1,0.954545455,0.954545455,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/shadereffects,0,19,0.052631584,5,146,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/snake,0,9,0.111111121,1,55,1,1,0,1,1,0,1,1,3,0,3,1,0,1,0,5.973134925,5.973134925,0.000343997,0.000343997,0,0,0,0,6,0,6,1,0,1,1,0.954545455,0.954545455,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/sqllocalstorage,0,9,0.111111121,5,72,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/text/fonts/availableFonts,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/text/fonts/banner,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
