comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
qtbase.src/3rdparty/pcre/sljit,0,10281,0.343449081,3,10310,1,2,0,2,0.666666667,0.993003529,1,1,9,0,9,1,1,1,0,510.1607143,1853.132411,0.125,0.089298536,1,1,0.333333333,0.333333333,15,0,15,1,0,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/pixman,0,2368,0.001266892,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/rfc6234,0,600,0.128333333,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,5,1,1,1,1,0.989051095,0.989051095,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/sha1,0,151,0.112582782,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.73670475,33.73670475,9.85E-05,9.85E-05,3,3,0,0,8,0,8,1,0,1,1,0.666666667,0.666666667,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/sha3,0,496,0.260080645,4,1921,1,2,0,2,0.5,0.98404575,1,1,4,0,4,1,2,1,1,2271.784498,2712.793536,0.03262741,0.099806579,0,0,0.5,0.375,4,0,4,1,0,1,1,0.994525547,0.992160733,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/wintab,0,119,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/xcb/include/xcb,1,9802,0.00244848,1,14871,0,1,0,1,1,1,1,1,2,0,2,1,0,1,0,3.216277333,3.216277333,2.71E-05,2.71E-05,2,2,0,0,5,0,5,1,0,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/xkbcommon/src,0,8525,0.078005865,1,10648,0,1,0,1,1,1,1,1,2,0,2,1,0,1,0,2.797265918,2.797265918,3.43E-05,3.43E-05,0,0,0,0,3,0,3,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/xkbcommon/src/xkbcomp,0,10072,0.275119142,1,17018,0,1,0,1,1,1,1,1,2,0,2,1,0,1,0,2.797265918,2.797265918,3.43E-05,3.43E-05,0,0,0,0,3,0,3,1,1,1,1,1,1,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.src/3rdparty/xkbcommon/xkbcommon,0,272,0.036764706,2,4742,0,1,0,1,1,1,1,1,4,0,4,1,0,1,0,126.4670409,126.4670409,0.003748489,0.003748489,0,0,0,0,5,0,5,1,1,1,1,0.995601173,0.995601173,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
